Tên sản phẩm,SKU,Danh mục,Thương hiệu,Giá,Giá khuyến mãi,Tồn kho,Trạng thái,Nổi bật,Ảnh sản phẩm,Đường link ảnh sản phẩm
Điện thoại mẫu,IP15PM256GB,Điện thoại,Apple,10000000,9000000,50,hoạt động,có,iphone15.jpg,https://example.com/image1.jpg
VGA ASUS ROG Strix RTX 4090,VGA4090ASUS,VGA,ASUS,60000000,58000000,10,hoạt động,có,rtx4090.jpg,https://songphuong.vn/Content/uploads/2022/09/VGA-ASUS-ROG-Strix-GeForce-RTX-4090-OC-24GB-Gaming-ROG-STRIX-RTX4090-O24G-GAMING-1-songphuong.vn_.jpg
VGA MSI GeForce RTX 4070 Ti,VGA4070TIMSI,VGA,MSI,25000000,24000000,15,hoạt động,,rtx4070ti.jpg,https://notebookspec.com/storage/pc-vga/1774-1.png
VGA GIGABYTE RTX 4060,VGA4060GIGA,VGA,GIGABYTE,12000000,11500000,20,hoạt động,,rtx4060.jpg,https://tse4.mm.bing.net/th/id/OIP.TmsEDnNIp8YgRiaFPYhdCwHaHa?rs=1&pid=ImgDetMain&o=7&rm=3
Mainboard ASUS ROG Z790 Hero,MBZ790ASUS,Mainboard,ASUS,15000000,14500000,8,hoạt động,có,z790.jpg,https://tse4.mm.bing.net/th/id/OIP.WtzKV77PcJiNL-g5HvgqUgAAAA?rs=1&pid=ImgDetMain&o=7&rm=3
Mainboard MSI B660M Mortar,MBB660MMSI,Mainboard,MSI,4000000,3800000,25,hoạt động,,b660m.jpg,https://tse4.mm.bing.net/th/id/OIP.v_JrLPrb4DXK6oAi-r7GTgHaHa?rs=1&pid=ImgDetMain&o=7&rm=3
Mainboard GIGABYTE B550 AORUS,MBB550GIGA,Mainboard,GIGABYTE,3500000,3300000,18,hoạt động,,b550.jpg,https://hanoicomputercdn.com/media/product/53556_mainboard_gigabyte_b550_aorus_elite_66.png
Máy ảnh Canon EOS R6 Mark II,CAMR6CANON,Máy ảnh,Canon,52000000,50000000,5,hoạt động,có,canon_r6.jpg,https://bizweb.dktcdn.net/100/107/650/files/nando-canon-eosr6mk2-02.jpg?v=1680685835796
Máy ảnh Sony Alpha A7 IV,CAMA7IVSONY,Máy ảnh,Sony,48000000,47000000,7,hoạt động,,sony_a7iv.jpg,https://tse1.mm.bing.net/th/id/OIP.-hAZbJ3f_wj69ANTsdGSVwHaE7?rs=1&pid=ImgDetMain&o=7&rm=3
Máy ảnh Nikon Z6 II,CAMZ6IINIKON,Máy ảnh,Nikon,42000000,41000000,6,hoạt động,,nikon_z6.jpg,https://binhminhdigital.com/StoreData/images/Product/Camera/Nikon_Z6II-3.jpg
VGA Zotac RTX 3060 Twin Edge,VGA3060ZOTAC,VGA,Zotac,9000000,8500000,12,hoạt động,,rtx3060.jpg,https://tse1.mm.bing.net/th/id/OIP.CAbpL8yliYDG1R15G-979AHaFj?rs=1&pid=ImgDetMain&o=7&rm=3
 ,,,,,,,,,,
